id,from_word_id,to_lang_id,to_word_id,comment,alt_translation
37810,37780,9910,,,"usually prefixed to verbs, in which cases it often has the effect of intensifying the verbal action"
37910,37860,9910,37900,,
37930,37860,9910,37920,,
37940,37820,9910,,,"One who cuts or cuts off, cutter"
45350,45140,9910,26730,,
45360,45020,9910,22230,,
45510,45470,9910,45500,,
45530,45370,9910,45520,,
45550,45380,9910,45540,,
45710,45620,9910,45500,,
45740,45720,9910,45730,,
45880,45840,9910,45870,,
45890,45810,9910,45730,,
46080,46050,9910,45870,,
46090,46020,9910,45730,,
49330,49320,9910,,,Name of large north region in querum empire
49350,49340,9910,,,That of the Giants
49700,49680,9910,49690,,
49720,49680,9910,49710,,
49930,49910,9910,49920,,
50040,50000,9910,50030,,
50090,50050,9910,,,Wet region to the east of mountains
50210,50190,9910,50200,,
50230,50190,9910,50220,,
50370,50330,9910,,,Lizardfolk land
50570,50560,9910,,,Land to the north of vertex
50600,50580,9910,50590,,
50630,50610,9910,50620,,
